label,tweet,cleaning,normalisasi,tokenisasi,stopword_removal
anger,"Soal jln Jatibaru,polisi tdk bs GERTAK gubernur .Emangny polisi tdk ikut pmbhasan? Jgn berpolitik. Pengaturan wilayah,hak gubernur. Persoalan Tn Abang soal turun temurun.Pelik.Perlu kesabaran. [USERNAME] [USERNAME] [URL]",soal jln jatibarupolisi tdk bs gertak gubernur emangny polisi tdk ikut pmbhasan jgn berpolitik pengaturan wilayahhak gubernur persoalan tn abang soal turun temurunpelikperlu kesabaran username username url,soal jalan jatibarupolisi tidak bisa gertak gubernur emangny polisi tidak ikut pmbhasan jangan berpolitik pengaturan wilayahhak gubernur persoalan tn abang soal turun temurunpelikperlu kesabaran username username url,"['soal', 'jalan', 'jatibarupolisi', 'tidak', 'bisa', 'gertak', 'gubernur', 'emangny', 'polisi', 'tidak', 'ikut', 'pmbhasan', 'jangan', 'berpolitik', 'pengaturan', 'wilayahhak', 'gubernur', 'persoalan', 'tn', 'abang', 'soal', 'turun', 'temurunpelikperlu', 'kesabaran', 'username', 'username', 'url']",jalan jatibarupolisi gertak gubernur emangny polisi pmbhasan berpolitik pengaturan wilayahhak gubernur tn abang turun temurunpelikperlu kesabaran
anger,"Sesama cewe lho (kayaknya), harusnya bisa lebih rasain lah yang harus sibuk jaga diri, rasain sakitnya haid, dan paniknya pulang malem sendirian. Gimana orang asing? Wajarlah banyak korban yang takut curhat, bukan dibela malah dihujat.",sesama cewe lho kayaknya harusnya bisa lebih rasain lah yang harus sibuk jaga diri rasain sakitnya haid dan paniknya pulang malem sendirian gimana orang asing wajarlah banyak korban yang takut curhat bukan dibela malah dihujat,sesama cewek lho kayaknya harusnya bisa lebih merasai lah yang harus sibuk jaga diri merasai sakitnya haid dan paniknya pulang malam sendirian bagaimana orang asing wajarlah banyak korban yang takut curhat bukan dibela malah dihujat,"['sesama', 'cewek', 'lho', 'kayaknya', 'harusnya', 'bisa', 'lebih', 'merasai', 'lah', 'yang', 'harus', 'sibuk', 'jaga', 'diri', 'merasai', 'sakitnya', 'haid', 'dan', 'paniknya', 'pulang', 'malam', 'sendirian', 'bagaimana', 'orang', 'asing', 'wajarlah', 'banyak', 'korban', 'yang', 'takut', 'curhat', 'bukan', 'dibela', 'malah', 'dihujat']",cewek lho kayaknya merasai sibuk jaga merasai sakitnya haid paniknya pulang malam orang asing wajarlah korban takut curhat dibela dihujat
happy,"Kepingin gudeg mbarek Bu hj. Amad Foto dari google, sengaja, biar teman-teman jg membayangkannya. Berbagi itu indah.",kepingin gudeg mbarek bu hj amad foto dari google sengaja biar temanteman jg membayangkannya berbagi itu indah,pengin gudeg mbarek bu hj amat foto dari google sengaja biar temanteman juga membayangkannya berbagi itu indah,"['pengin', 'gudeg', 'mbarek', 'bu', 'hj', 'amat', 'foto', 'dari', 'google', 'sengaja', 'biar', 'temanteman', 'juga', 'membayangkannya', 'berbagi', 'itu', 'indah']",pengin gudeg mbarek bu hj foto google sengaja biar temanteman membayangkannya berbagi indah
anger,"Jln Jatibaru,bagian dari wilayah Tn Abang.Pengaturan wilayah tgg jwb dan wwnang gub.Tng Abng soal rumit,sejak gub2 , trdahulu.Skrg sedng dibenahi,agr bermnfaat semua pihak.Mohon yg punya otak,berpikirlah dgn wajar,kecuali otaknya butek.Ya kamu. [URL]",jln jatibarubagian dari wilayah tn abangpengaturan wilayah tgg jwb dan wwnang gubtng abng soal rumitsejak gub trdahuluskrg sedng dibenahiagr bermnfaat semua pihakmohon yg punya otakberpikirlah dgn wajarkecuali otaknya butekya kamu url,jalan jatibarubagian dari wilayah tn abangpengaturan wilayah tgg jawab dan wwnang gubtng abng soal rumitsejak gub trdahuluskrg sedng dibenahiagr bermnfaat semua pihakmohon yang punya otakberpikirlah dengan wajarkecuali otaknya butekya kamu url,"['jalan', 'jatibarubagian', 'dari', 'wilayah', 'tn', 'abangpengaturan', 'wilayah', 'tgg', 'jawab', 'dan', 'wwnang', 'gubtng', 'abng', 'soal', 'rumitsejak', 'gub', 'trdahuluskrg', 'sedng', 'dibenahiagr', 'bermnfaat', 'semua', 'pihakmohon', 'yang', 'punya', 'otakberpikirlah', 'dengan', 'wajarkecuali', 'otaknya', 'butekya', 'kamu', 'url']",jalan jatibarubagian wilayah tn abangpengaturan wilayah tgg wwnang gubtng abng rumitsejak gub trdahuluskrg sedng dibenahiagr bermnfaat pihakmohon otakberpikirlah wajarkecuali otaknya butekya
happy,"Sharing pengalaman aja, kemarin jam 18.00 batalin tiket di stasiun pasar senen, lancar, antrian tidak terlalu rame,15 menitan dan beress semua! Mungkin bisa dicoba twips, di jam-jam segitu  cc [USERNAME]",sharing pengalaman aja kemarin jam batalin tiket di stasiun pasar senen lancar antrian tidak terlalu rame menitan dan beress semua mungkin bisa dicoba twips di jamjam segitu cc username,sharing pengalaman saja kemarin jam batalin tiket di stasiun pasar senen lancar antrian tidak terlalu rame menitan dan beress semua mungkin bisa dicoba twips di jamjam segitu cc username,"['sharing', 'pengalaman', 'saja', 'kemarin', 'jam', 'batalin', 'tiket', 'di', 'stasiun', 'pasar', 'senen', 'lancar', 'antrian', 'tidak', 'terlalu', 'rame', 'menitan', 'dan', 'beress', 'semua', 'mungkin', 'bisa', 'dicoba', 'twips', 'di', 'jamjam', 'segitu', 'cc', 'username']",sharing pengalaman kemarin jam batalin tiket stasiun pasar senen lancar antrian rame menitan beress dicoba twips jamjam segitu cc
anger,"Dari sekian banyak thread yang aku baca, thread ini paling aneh sih dalam penulisan. Sumpah aneh bgt, mau ngatain ""lebay"" aja segala bikin thread hadeh. Aku juga ga jago nulis, tapi tulisan aku ga seberantakan thread mbaknya.",dari sekian banyak thread yang aku baca thread ini paling aneh sih dalam penulisan sumpah aneh bgt mau ngatain lebay aja segala bikin thread hadeh aku juga ga jago nulis tapi tulisan aku ga seberantakan thread mbaknya,dari sekian banyak thread yang aku baca thread ini paling aneh sih dalam penulisan sumpah aneh banget mau mengatai lebay saja segala bikin thread hadeh aku juga tidak jago menulis tapi tulisan aku tidak seberantakan thread mbaknya,"['dari', 'sekian', 'banyak', 'thread', 'yang', 'aku', 'baca', 'thread', 'ini', 'paling', 'aneh', 'sih', 'dalam', 'penulisan', 'sumpah', 'aneh', 'banget', 'mau', 'mengatai', 'lebay', 'saja', 'segala', 'bikin', 'thread', 'hadeh', 'aku', 'juga', 'tidak', 'jago', 'menulis', 'tapi', 'tulisan', 'aku', 'tidak', 'seberantakan', 'thread', 'mbaknya']",sekian thread baca thread aneh penulisan sumpah aneh banget mengatai lebay bikin thread hadeh jago menulis tulisan seberantakan thread mbaknya
happy,Sharing sama temen tuh emg guna bgt. Disaat lu ngerasa masalah lu berat bgt ternyata temen kita sendiri punya masalah lebih berat dr kita. Malah masalah kita ngga ada apa2nya dibanding masalah dia.,sharing sama temen tuh emg guna bgt disaat lu ngerasa masalah lu berat bgt ternyata temen kita sendiri punya masalah lebih berat dr kita malah masalah kita ngga ada apanya dibanding masalah dia,sharing sama teman tuh memang guna banget disaat kamu merasa masalah kamu berat banget ternyata teman kita sendiri punya masalah lebih berat dari kita malah masalah kita tidak ada apanya dibanding masalah dia,"['sharing', 'sama', 'teman', 'tuh', 'memang', 'guna', 'banget', 'disaat', 'kamu', 'merasa', 'masalah', 'kamu', 'berat', 'banget', 'ternyata', 'teman', 'kita', 'sendiri', 'punya', 'masalah', 'lebih', 'berat', 'dari', 'kita', 'malah', 'masalah', 'kita', 'tidak', 'ada', 'apanya', 'dibanding', 'masalah', 'dia']",sharing teman banget disaat berat banget teman berat apanya dibanding
sadness,"Orang lain kalau pake ponco itu buat jas hujan, nah dia pake buat kasur. Ya tadi gara2 saking gak punya apa2. Mamak bilang, kami tuh di awal pernikan gak ada ngalamin bulan madu kayak skrg2. Org tidur nya aja pake ponco. Gimane mau bulan madu.",orang lain kalau pake ponco itu buat jas hujan nah dia pake buat kasur ya tadi gara saking gak punya apa mamak bilang kami tuh di awal pernikan gak ada ngalamin bulan madu kayak skrg org tidur nya aja pake ponco gimane mau bulan madu,orang lain kalau pakai ponco itu buat jas hujan nah dia pakai buat kasur ya tadi gara saking tidak punya apa mamak bilang kami tuh di awal pernikan tidak ada ngalamin bulan madu kayak sekarang orang tidur ya saja pakai ponco gimane mau bulan madu,"['orang', 'lain', 'kalau', 'pakai', 'ponco', 'itu', 'buat', 'jas', 'hujan', 'nah', 'dia', 'pakai', 'buat', 'kasur', 'ya', 'tadi', 'gara', 'saking', 'tidak', 'punya', 'apa', 'mamak', 'bilang', 'kami', 'tuh', 'di', 'awal', 'pernikan', 'tidak', 'ada', 'ngalamin', 'bulan', 'madu', 'kayak', 'sekarang', 'orang', 'tidur', 'ya', 'saja', 'pakai', 'ponco', 'gimane', 'mau', 'bulan', 'madu']",orang pakai ponco jas hujan pakai kasur ya gara saking mamak bilang pernikan ngalamin madu kayak orang tidur ya pakai ponco gimane madu
anger,"Contoh mereka yg gemar menyudutkan, teriak paling toleran tp gemar menuduh, gemar men-judge seseorang berdasarkan versi mereka. Cukup tau saja.",contoh mereka yg gemar menyudutkan teriak paling toleran tp gemar menuduh gemar menjudge seseorang berdasarkan versi mereka cukup tau saja,contoh mereka yang gemar menyudutkan teriak paling toleran tapi gemar menuduh gemar menjudge seseorang berdasarkan versi mereka cukup tau saja,"['contoh', 'mereka', 'yang', 'gemar', 'menyudutkan', 'teriak', 'paling', 'toleran', 'tapi', 'gemar', 'menuduh', 'gemar', 'menjudge', 'seseorang', 'berdasarkan', 'versi', 'mereka', 'cukup', 'tau', 'saja']",contoh gemar menyudutkan teriak toleran gemar menuduh gemar menjudge berdasarkan versi tau
sadness,Pulang udah H-4 lebaran dilema sekali. Seperti tidak bisa melakukan apa2 dirumah sebelum lebaran. Buka puasa bareng cuman 3 hari sama keluarga begitu juga sahur.,pulang udah h lebaran dilema sekali seperti tidak bisa melakukan apa dirumah sebelum lebaran buka puasa bareng cuman hari sama keluarga begitu juga sahur,pulang sudah h lebaran dilema sekali seperti tidak bisa melakukan apa dirumah sebelum lebaran buka puasa bareng cuman hari sama keluarga begitu juga sahur,"['pulang', 'sudah', 'h', 'lebaran', 'dilema', 'sekali', 'seperti', 'tidak', 'bisa', 'melakukan', 'apa', 'dirumah', 'sebelum', 'lebaran', 'buka', 'puasa', 'bareng', 'cuman', 'hari', 'sama', 'keluarga', 'begitu', 'juga', 'sahur']",pulang h lebaran dilema dirumah lebaran buka puasa bareng cuman keluarga sahur
anger,"Betul Min rakyat Indonesia sekarang harapan nya tinggal sama TNI saja, kalau yang lain lihat saja, sudah jelas penyerangan ke kantor media, katanya tidak ada unsur pidananya, sudah jelas menghina presiden Indonesia yang sah, cuma lucu lucu an saja, #TNI [URL]",betul min rakyat indonesia sekarang harapan nya tinggal sama tni saja kalau yang lain lihat saja sudah jelas penyerangan ke kantor media katanya tidak ada unsur pidananya sudah jelas menghina presiden indonesia yang sah cuma lucu lucu an saja tni url,betul min rakyat indonesia sekarang harapan ya tinggal sama tni saja kalau yang lain lihat saja sudah jelas penyerangan ke kantor media katanya tidak ada unsur pidananya sudah jelas menghina presiden indonesia yang sah cuma lucu lucu an saja tni url,"['betul', 'min', 'rakyat', 'indonesia', 'sekarang', 'harapan', 'ya', 'tinggal', 'sama', 'tni', 'saja', 'kalau', 'yang', 'lain', 'lihat', 'saja', 'sudah', 'jelas', 'penyerangan', 'ke', 'kantor', 'media', 'katanya', 'tidak', 'ada', 'unsur', 'pidananya', 'sudah', 'jelas', 'menghina', 'presiden', 'indonesia', 'yang', 'sah', 'cuma', 'lucu', 'lucu', 'an', 'saja', 'tni', 'url']",min rakyat indonesia harapan ya tinggal tni lihat penyerangan kantor media unsur pidananya menghina presiden indonesia sah lucu lucu an tni
anger,Kalaupun fansite ngejual hasil jepretan mereka toh uang nya lari ke idol juga. Beliin mereka hadiah dsb kan. Kpopers baru ya? Fansite udh ada dr jaman kamera belom sebening skrg!,kalaupun fansite ngejual hasil jepretan mereka toh uang nya lari ke idol juga beliin mereka hadiah dsb kan kpopers baru ya fansite udh ada dr jaman kamera belom sebening skrg,kalaupun fansite ngejual hasil jepretan mereka toh uang ya lari ke idol juga belikan mereka hadiah dsb kan kpopers baru ya fansite sudah ada dari jaman kamera belum sebening sekarang,"['kalaupun', 'fansite', 'ngejual', 'hasil', 'jepretan', 'mereka', 'toh', 'uang', 'ya', 'lari', 'ke', 'idol', 'juga', 'belikan', 'mereka', 'hadiah', 'dsb', 'kan', 'kpopers', 'baru', 'ya', 'fansite', 'sudah', 'ada', 'dari', 'jaman', 'kamera', 'belum', 'sebening', 'sekarang']",fansite ngejual hasil jepretan uang ya lari idol belikan hadiah dsb kpopers ya fansite jaman kamera sebening
happy,"sangat bersyukur bisa mendoakan kakeknya, Bung Karno, bersama anak-anak yatim piatu. #BulanBungKarno #JuniBulanBungKarno #PenyambungLidahRakyatIndonesia #nomor2untukjatim #jatimpilihgusipulputi #KabehSedulurKabehMakmur [USERNAME] h",sangat bersyukur bisa mendoakan kakeknya bung karno bersama anakanak yatim piatu bulanbungkarno junibulanbungkarno penyambunglidahrakyatindonesia nomoruntukjatim jatimpilihgusipulputi kabehsedulurkabehmakmur username h,sangat bersyukur bisa mendoakan kakeknya bung karno bersama anakanak yatim piatu bulanbungkarno junibulanbungkarno penyambunglidahrakyatindonesia nomoruntukjatim jatimpilihgusipulputi kabehsedulurkabehmakmur username h,"['sangat', 'bersyukur', 'bisa', 'mendoakan', 'kakeknya', 'bung', 'karno', 'bersama', 'anakanak', 'yatim', 'piatu', 'bulanbungkarno', 'junibulanbungkarno', 'penyambunglidahrakyatindonesia', 'nomoruntukjatim', 'jatimpilihgusipulputi', 'kabehsedulurkabehmakmur', 'username', 'h']",bersyukur mendoakan kakeknya karno anakanak yatim piatu bulanbungkarno junibulanbungkarno penyambunglidahrakyatindonesia nomoruntukjatim jatimpilihgusipulputi kabehsedulurkabehmakmur h
