Tweet,Label,cleaning,normalisasi,tokenisasi,stopword_removal
pagi2 udah di buat emosi :),Anger,pagi udah di buat emosi,pagi sudah di buat emosi,"['pagi', 'sudah', 'di', 'buat', 'emosi']",pagi emosi
"kok stabilitas negara, memange 10 thn negara tdk aman, bahkan sby menyuburkan ormas2 radikal, intoleran, teroris, yg berafiliasi ke partai tertentu..narasi klhtn intelektual tp bodoh..",Anger,kok stabilitas negara memange thn negara tdk aman bahkan sby menyuburkan ormas radikal intoleran teroris yg berafiliasi ke partai tertentunarasi klhtn intelektual tp bodoh,kok stabilitas negara memange tahun negara tidak aman bahkan surabaya menyuburkan ormas radikal intoleran teroris yang berafiliasi ke partai tertentunarasi klhtn intelektual tapi bodoh,"['kok', 'stabilitas', 'negara', 'memange', 'tahun', 'negara', 'tidak', 'aman', 'bahkan', 'surabaya', 'menyuburkan', 'ormas', 'radikal', 'intoleran', 'teroris', 'yang', 'berafiliasi', 'ke', 'partai', 'tertentunarasi', 'klhtn', 'intelektual', 'tapi', 'bodoh']",stabilitas negara memange negara aman surabaya menyuburkan ormas radikal intoleran teroris berafiliasi partai tertentunarasi klhtn intelektual bodoh
dah lah emosi mulu liat emyu,Anger,dah lah emosi mulu liat emyu,sudah lah emosi mulu lihat emyu,"['sudah', 'lah', 'emosi', 'mulu', 'lihat', 'emyu']",emosi mulu lihat emyu
"aib? bodoh benar! sebelum kata aib itu muncul, terlebih dahulu sudah ada tindakan. yakni kekejian! jangan kau sembunyikan caramu menelaah masalah. semisal anak perempuanmu ditempeleng! apa kau juga setuju untuk dia bersikap bungkam? melapor polisi adl benar. lantas apa bedanya",Anger,aib bodoh benar sebelum kata aib itu muncul terlebih dahulu sudah ada tindakan yakni kekejian jangan kau sembunyikan caramu menelaah masalah semisal anak perempuanmu ditempeleng apa kau juga setuju untuk dia bersikap bungkam melapor polisi adl benar lantas apa bedanya,aib bodoh benar sebelum kata aib itu muncul terlebih dahulu sudah ada tindakan yakni kekejian jangan kau sembunyikan caramu menelaah masalah semisal anak perempuanmu ditempeleng apa kau juga setuju untuk dia bersikap bungkam melapor polisi adalah benar lantas apa bedanya,"['aib', 'bodoh', 'benar', 'sebelum', 'kata', 'aib', 'itu', 'muncul', 'terlebih', 'dahulu', 'sudah', 'ada', 'tindakan', 'yakni', 'kekejian', 'jangan', 'kau', 'sembunyikan', 'caramu', 'menelaah', 'masalah', 'semisal', 'anak', 'perempuanmu', 'ditempeleng', 'apa', 'kau', 'juga', 'setuju', 'untuk', 'dia', 'bersikap', 'bungkam', 'melapor', 'polisi', 'adalah', 'benar', 'lantas', 'apa', 'bedanya']",aib bodoh aib muncul tindakan kekejian kau sembunyikan caramu menelaah anak perempuanmu ditempeleng kau setuju bersikap bungkam melapor polisi lantas bedanya
dih lu yg nyebelin bego,Anger,dih lu yg nyebelin bego,dih kamu yang menyebalkan bego,"['dih', 'kamu', 'yang', 'menyebalkan', 'bego']",dih menyebalkan bego
"asli malu maluin org indo tolol yg rep latah ""cilukba"" pake huruf hijaiyah sm ""ngntd"" sama ganti huruf t pake salib, ada tiktok filipin lewat fyp aku dan repnya ""ngtd"" semua, dasar goblogg trend tiktok ter tolol",Anger,asli malu maluin org indo tolol yg rep latah cilukba pake huruf hijaiyah sm ngntd sama ganti huruf t pake salib ada tiktok filipin lewat fyp aku dan repnya ngtd semua dasar goblogg trend tiktok ter tolol,asli malu maluin orang indonesia tolol yang rep latah cilukba pakai huruf hijaiyah sama ngntd sama ganti huruf t pakai salib ada tiktok filipin lewat fyp aku dan repnya ngtd semua dasar goblogg trend tiktok ter tolol,"['asli', 'malu', 'maluin', 'orang', 'indonesia', 'tolol', 'yang', 'rep', 'latah', 'cilukba', 'pakai', 'huruf', 'hijaiyah', 'sama', 'ngntd', 'sama', 'ganti', 'huruf', 't', 'pakai', 'salib', 'ada', 'tiktok', 'filipin', 'lewat', 'fyp', 'aku', 'dan', 'repnya', 'ngtd', 'semua', 'dasar', 'goblogg', 'trend', 'tiktok', 'ter', 'tolol']",asli malu maluin orang indonesia tolol rep latah cilukba pakai huruf hijaiyah ngntd ganti huruf t pakai salib tiktok filipin fyp repnya ngtd dasar goblogg trend tiktok ter tolol
drama abg tolol,Anger,drama abg tolol,drama abang tolol,"['drama', 'abang', 'tolol']",drama abang tolol
masih emosi sih sama katla kemarin. mana keterangannya gini aja. ((hasil mengaci)) kzl.,Anger,masih emosi sih sama katla kemarin mana keterangannya gini aja hasil mengaci kzl,masih emosi sih sama katla kemarin mana keterangannya begini saja hasil mengaci kzl,"['masih', 'emosi', 'sih', 'sama', 'katla', 'kemarin', 'mana', 'keterangannya', 'begini', 'saja', 'hasil', 'mengaci', 'kzl']",emosi katla kemarin keterangannya hasil mengaci kzl
"bangsat tribute no.1, bencana no.2 mau ngalahin ini keknya",Anger,bangsat tribute no bencana no mau ngalahin ini keknya,bangsat tribute no bencana no mau mengalahkan ini kayaknya,"['bangsat', 'tribute', 'no', 'bencana', 'no', 'mau', 'mengalahkan', 'ini', 'kayaknya']",bangsat tribute no bencana no mengalahkan kayaknya
pengen pergi jauh terus teriak sambil nangis sekencang kencangnya nanti balik kalo gue udah lupa segalanya wkwj kn tolol mustahil banget,Anger,pengen pergi jauh terus teriak sambil nangis sekencang kencangnya nanti balik kalo gue udah lupa segalanya wkwj kn tolol mustahil banget,pengin pergi jauh terus teriak sambil menangis sekencang kencangnya nanti balik kalau gue sudah lupa segalanya wkwj kan tolol mustahil banget,"['pengin', 'pergi', 'jauh', 'terus', 'teriak', 'sambil', 'menangis', 'sekencang', 'kencangnya', 'nanti', 'balik', 'kalau', 'gue', 'sudah', 'lupa', 'segalanya', 'wkwj', 'kan', 'tolol', 'mustahil', 'banget']",pengin pergi teriak menangis sekencang kencangnya gue lupa wkwj tolol mustahil banget
ya allah mau marah tpi gimana ya,Anger,ya allah mau marah tpi gimana ya,ya allah mau marah tapi bagaimana ya,"['ya', 'allah', 'mau', 'marah', 'tapi', 'bagaimana', 'ya']",allah marah
